original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
1571139,115,239143,651639,0,0,239143,651639,239143,651639,239143,651639,239143,651639
1571151,116,239143,651639,0,0,239143,651639,239143,651639,239143,651639,239143,651639
1571163,117,239143,651639,0,0,239143,651639,239143,651639,239143,651639,239143,651639
1571175,118,239143,651639,0,0,239143,651639,239143,651639,239143,651639,239143,651639
1571186,119,212074,813110,4,9,212071,813095,212071,813114,212083,813114,212085,813120
1571197,120,208627,818347,10,3,208624,818346,208624,818347,208647,818347,208653,818359
1571208,121,234831,628985,3,5,234825,628983,234833,628983,234833,628996,234833,629002
1571219,122,233014,632737,6,1,233011,632735,233011,632738,233027,632739,233029,632741
1571230,123,238663,632729,6,1,238661,632728,238661,632728,238675,632731,238677,632734
1571242,124,240184,652451,0,0,240184,652451,240184,652451,240184,652451,240184,652451
1571254,125,240254,652178,0,0,240254,652178,240254,652178,240254,652178,240254,652178
1571266,126,239905,652242,0,0,239905,652242,239905,652242,239905,652242,239905,652242
1571278,127,237238,650242,0,0,237238,650242,237238,650242,237238,650242,237238,650242
1571289,128,202838,579832,19,6,202809,579824,202849,579830,202849,579846,202849,579848
1571300,129,197849,576774,23,42,197826,576756,197844,576756,197906,576879,197910,576884
1571311,130,195607,581912,3,1,195603,581912,195609,581912,195609,581916,195609,581916
1571322,131,210654,835021,2,3,210654,835020,210654,835022,210657,835022,210662,835028
1571333,132,210884,838700,15,2,210874,838699,210874,838699,210909,838706,210909,838706
1571344,133,216489,837992,5,5,216477,837980,216492,837996,216492,837996,216494,837996
1571355,134,317035,909535,29,19,316981,909526,317052,909526,317052,909582,317052,909582
1571366,135,284723,680254,0,0,284723,680254,284723,680254,284723,680254,284723,680254
1571377,136,281234,682361,3,1,281233,682361,281233,682361,281239,682364,281247,682368
1571388,137,275593,686043,1,4,275594,686043,275594,686043,275595,686044,275596,686060
1571400,138,240980,652494,0,0,240980,652494,240980,652494,240980,652494,240980,652494
1571412,139,240709,652062,0,0,240709,652062,240709,652062,240709,652062,240709,652062
1571424,140,241066,652020,0,0,241066,652020,241066,652020,241066,652020,241066,652020
