eovx,eovy,num
173845,575887,635
255432,656476,396
237778,648537,319
235772,641628,436
292522,850227,377
243942,643872,104
238635,655830,24
240032,650496,207
241865,645044,243
168862,480763,581
238499,643277,99
241611,649331,247
241344,652478,38
257048,652561,758
218032,647984,248
239399,662805,86
241526,650300,315
239778,656719,158
231188,672108,398
239524,654433,177
237740,826849,381
202248,734579,1170
238883,640883,389
296290,855562,564
237801,662888,330
176204,700172,247
248767,647441,227
240165,597142,309
243461,649440,153
219493,649169,611
305868,707564,622
308454,779016,720
305211,777238,593
151320,806748,462
259845,545203,723
259324,544720,487
103520,737659,549
101333,732530,150
102307,739216,566
103102,733600,411
106077,733874,336
103503,734085,607
100736,733502,592
78962,584768,855
81889,589692,452
80356,584983,672
81018,583917,775
84261,590974,649
248284,601128,819
247746,602845,620
113572,554302,820
221879,652466,183
295600,849234,336
240603,650559,190
146745,821156,684
146343,822315,240
123840,493404,782
202050,739612,297
239524,648972,111
239651,648845,48
146003,743525,416
293986,849289,216
150403,803972,347
236603,649988,281
113032,623191,42
220526,650484,369
173850,699281,115
221169,640261,342
235333,657481,120
285381,748560,17
236349,651766,221
148338,756922,0
99062,728982,0
171325,564136,0
283847,681103,0
240794,648337,0
231777,641606,5
223649,635764,13
239397,712345,0
258193,670181,0
258701,667514,5
258320,650877,54
132209,644146,2
130685,645543,12
255018,721616,7
185930,705614,0
268607,751715,3
287784,850013,0
314073,810516,0
155704,610872,215
239397,627763,10
69725,602236,65
241048,635256,54
219077,627890,40
209171,612142,24
219331,639701,62
239143,624842,4
103634,729236,12
256288,651766,18
204218,736856,0
102491,736602,4
249938,655195,20
259209,657735,4
186184,581535,0
235079,669673,29
248922,843663,0
227840,645797,0
210441,618492,0
211330,636653,13
189613,638685,48
246636,657354,14
229110,666244,3
171452,564136,0
226062,487174,306
145544,742825,4
263273,654941,69
243461,661799,0
100967,734570,0
228094,641733,13
246763,642622,3
247271,643511,10
228094,649607,0
225935,655576,0
181104,641352,49
198376,636018,178
90807,600966,70
210314,619254,0
210187,618111,0
244477,651766,72
244985,839853,0
264035,846076,70
243334,608713,73
166753,801118,0
186057,768860,0
331345,870587,6
275338,764288,0
229745,644908,19
236484,652343,303
250799,650872,251
181990,562635,422
242913,654659,291
238099,652325,330
243080,651385,279
169431,530746,645
243366,652007,259
232923,825317,769
258137,658612,296
205392,603635,598
236730,653798,139
234976,648675,507
242738,655970,384
250795,843976,701
237641,665656,459
234482,651631,308
226863,646038,246
240286,650677,160
302911,857721,107
293447,849050,460
240340,657072,261
238762,655830,37
230687,701933,174
158213,513662,572
240413,648210,160
232898,640566,379
167604,481304,412
241129,663859,125
236498,647101,719
235440,647369,700
168673,484522,458
246453,668121,362
172573,680288,222
244793,648940,364
226894,666563,671
242699,651429,314
254373,679363,166
243633,657391,366
310612,864455,338
243084,651325,403
239596,655491,167
238719,655195,966
248542,672156,437
239583,652025,219
241130,655005,236
245112,656846,144
242584,642362,38
166000,509167,457
211834,694778,344
238508,648210,103
230542,641254,559
204263,754190,217
272472,717519,131
248208,847755,271
250229,849297,451
78174,585906,528
113897,553663,633
306409,775454,636
149788,808456,370
249611,601169,722
82425,586515,46
211722,465578,506
250355,598058,31
311131,707262,94
272849,626919,652
235000,643403,498
207310,615967,192
118573,489897,438
229210,459338,249
288110,749023,428
171719,566492,59
221558,644132,79
241595,649087,297
240667,651847,65
236822,653647,6
210568,619508,4
217426,727331,0
225935,672848,0
206250,667006,0
222252,677420,0
238127,635256,90
253240,629922,40
241175,542673,52
288419,855855,12
324868,767336,0
251081,743968,3
128272,498858,138
133733,536958,62
247271,840361,52
141988,591695,130
153799,506605,43
223141,539879,173
266448,620397,283
245493,626747,235
256415,630430,66
106428,611253,107
179453,503430,450
185803,742825,23
301119,847600,0
250319,655449,6
249938,655068,0
150497,710821,0
188343,641733,125
211457,623699,91
113794,568073,106
207393,621286,43
195582,599569,266
253748,651512,20
59057,603633,55
198376,509018,155
235587,669292,0
126367,620905,163
141988,623318,201
228221,646559,0
230634,636653,9
101850,735447,9
100713,624334,9
237365,664720,29
250827,651258,15
250192,651385,0
250573,649861,0
242699,664085,0
251208,672340,0
307850,779909,6
237111,665736,0
240032,663069,3
120398,722505,170
297576,903858,56
264289,659005,139
294261,894717,0
160657,809373,0
120779,683008,2
258574,694819,0
120017,681992,0
71884,621794,11
254256,777750,2
160657,809119,0
234450,656584,255
244004,655558,164
244477,643003,12
245101,655529,276
233355,655326,408
257417,846442,407
236729,651806,321
241229,662382,353
240179,652462,252
239980,648588,108
235800,649514,179
184498,585162,271
185453,580018,30
179490,562724,295
167887,562021,112
188756,570749,254
244156,659366,221
246890,649706,288
184316,568824,178
233849,768580,68
315286,892749,218
131589,645128,793
238416,652278,212
215522,730167,57
247974,652350,230
242370,651810,219
240960,654147,328
243391,634884,105
239444,646028,158
237019,652336,446
221949,653484,435
236443,826618,165
232901,678346,212
234585,652694,353
231956,653674,513
234938,645638,837
237339,645030,545
