original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
1293535,106,57660,453646,0,0,57660,453646,57660,453646,57660,453646,57660,453646
1293647,107,57660,453804,0,38,57660,453797,57660,453816,57660,453816,57660,453817
1293834,108,57727,453837,16,8,57685,453822,57735,453842,57735,453842,57735,453842
1295523,109,57859,454136,46,71,57738,454154,57878,454154,57878,454154,57878,454154
1295564,110,57883,454167,1,3,57884,454165,57884,454170,57884,454170,57884,454170
1295669,111,57933,454186,5,7,57935,454184,57935,454184,57935,454201,57935,454203
1300871,112,57939,454472,6,66,57935,454436,57936,454489,57952,454501,57952,454504
1300900,113,58059,454509,0,1,58059,454510,58060,454510,58060,454510,58060,454510
1301031,114,58060,454523,0,12,58060,454510,58060,454532,58060,454537,58060,454543
1571139,115,58183,454551,0,13,58183,454546,58183,454546,58183,454570,58183,454608
1571151,116,58193,454712,12,23,58183,454708,58184,454715,58210,454727,58210,454727
1571163,117,58272,454727,9,1,58247,454727,58277,454727,58277,454727,58277,454740
1571175,118,58381,454956,12,52,58368,454965,58374,454970,58395,454970,58395,454971
1571186,119,58395,454998,2,15,58395,454976,58395,455011,58395,455011,58404,455011
1571197,120,58499,455016,4,2,58497,455011,58497,455018,58507,455018,58510,455020
1571208,121,58626,455024,3,4,58621,455022,58627,455022,58631,455031,58631,455036
1571219,122,58631,455102,0,18,58631,455094,58631,455107,58631,455122,58631,455122
1571230,123,58631,455135,0,14,58631,455122,58631,455122,58631,455154,58632,455154
1571242,124,58632,455154,0,0,58632,455154,58632,455154,58632,455154,58632,455154
1571254,125,58632,455169,1,3,58632,455170,58632,455170,58633,455170,58639,455170
1571266,126,58747,455290,3,28,58747,455297,58747,455297,58749,455297,58757,455297
1571278,127,58803,455417,0,28,58803,455424,58803,455424,58803,455424,58803,455424
1571289,128,58803,455424,0,0,58803,455424,58803,455424,58803,455424,58803,455424
1571300,129,58803,455424,0,0,58803,455424,58803,455424,58803,455424,58803,455424
1571311,130,59057,455765,0,86,59057,455735,59057,455804,59057,455804,59057,455804
1571322,131,59057,455953,0,35,59057,455962,59057,455962,59057,455962,59057,455962
1571333,132,59057,455995,0,37,59057,455962,59057,455968,59057,456048,59057,456048
1571344,133,59057,456053,0,5,59057,456048,59057,456055,59057,456059,59057,456059
1571355,134,59057,456071,0,21,59057,456059,59057,456059,59057,456115,59057,456115
1571366,135,59057,456126,0,2,59057,456127,59057,456127,59057,456127,59057,456127
1571377,136,59057,456205,0,89,59057,456127,59057,456132,59057,456313,59057,456313
1571388,137,59057,456313,0,1,59057,456313,59057,456313,59057,456316,59057,456316
1571400,138,59057,456433,0,28,59057,456440,59057,456440,59057,456440,59057,456440
1571412,139,59057,456440,0,0,59057,456440,59057,456440,59057,456440,59057,456440
1571424,140,59057,456440,0,0,59057,456440,59057,456440,59057,456440,59057,456440
1571448,141,59181,456440,2,0,59181,456440,59181,456440,59184,456440,59184,456440
1571460,142,59546,456637,0,48,59545,456631,59547,456653,59547,456653,59550,456657
1571472,143,59625,456660,51,6,59565,456658,59664,456658,59672,456673,59677,456677
1571484,144,59677,456693,0,3,59677,456694,59677,456694,59677,456694,59677,456694
1571496,145,59698,456715,16,6,59677,456702,59712,456718,59712,456718,59712,456724
1571508,146,59925,456729,174,5,59712,456727,60073,456727,60073,456737,60073,456745
1571520,147,60073,456872,0,31,60073,456867,60073,456883,60073,456883,60073,456883
1571532,148,60073,456944,0,13,60073,456948,60073,456948,60073,456948,60073,456948
1571544,149,60073,456948,0,0,60073,456948,60073,456948,60073,456948,60073,456948
1571556,150,60090,457062,15,41,60073,457020,60097,457088,60105,457088,60105,457088
1571568,151,60221,457186,102,23,60105,457180,60212,457193,60327,457195,60327,457195
1571580,152,60348,457202,22,8,60327,457195,60334,457195,60380,457213,60380,457224
1571592,153,60439,457323,50,23,60380,457329,60482,457329,60482,457329,60482,457329
1571604,154,60482,457405,1,18,60482,457408,60482,457410,60485,457410,60488,457410
1571616,155,60541,457413,47,9,60493,457410,60519,457410,60595,457438,60595,457438
1571628,156,60647,457455,55,4,60595,457456,60611,457456,60708,457456,60708,457456
1571640,157,60708,457456,0,0,60708,457456,60708,457456,60708,457456,60708,457456
1571652,158,60708,457486,0,8,60708,457487,60708,457488,60708,457495,60708,457495
1571686,159,60708,457518,0,11,60708,457497,60708,457525,60708,457525,60708,457527
1571697,160,60708,457579,0,12,60708,457583,60708,457583,60708,457583,60708,457583
1571708,161,60732,457765,26,44,60708,457774,60708,457777,60762,457777,60762,457777
1571720,162,60824,457783,48,8,60762,457777,60866,457777,60866,457795,60866,457803
1571732,163,61034,457848,134,16,60866,457826,61148,457859,61148,457859,61148,457859
1571744,164,61190,457951,30,22,61148,457935,61216,457957,61216,457961,61216,457964
1571756,165,61216,457964,0,1,61216,457964,61216,457964,61216,457964,61216,457972
1571780,166,61216,458006,0,8,61216,458002,61216,458010,61216,458010,61216,458011
1571792,167,61350,458049,113,18,61216,458015,61441,458061,61449,458061,61449,458061
1571804,168,61616,458089,139,6,61449,458091,61714,458091,61749,458091,61749,458091
1571815,169,61798,458091,41,0,61749,458091,61828,458091,61834,458091,61834,458091
1571826,170,61852,458091,12,0,61834,458091,61857,458091,61863,458091,61863,458091
1571837,171,61932,458151,53,16,61863,458144,61978,458155,61978,458162,61978,458162
1571848,172,61978,458162,0,1,61978,458162,61978,458162,61978,458162,61978,458173
1571860,173,61978,458215,0,10,61978,458218,61978,458218,61978,458218,61978,458218
1571872,174,61978,458228,0,6,61978,458218,61978,458229,61978,458234,61978,458234
1571884,175,62052,458234,62,0,61978,458234,62105,458234,62105,458234,62105,458234
1571896,176,62105,458274,0,15,62105,458258,62105,458279,62105,458288,62105,458288
1571908,177,62105,458288,0,0,62105,458288,62105,458288,62105,458288,62105,458288
1571920,178,62105,458330,0,10,62105,458333,62105,458333,62105,458333,62105,458333
1571932,179,62200,458425,81,86,62105,458333,62270,458492,62270,458510,62270,458510
1571944,180,62322,458602,43,88,62270,458510,62359,458628,62359,458704,62359,458704
1571992,181,62359,458704,0,0,62359,458704,62359,458704,62359,458704,62359,458704
1572004,182,62361,458719,1,9,62359,458706,62363,458726,62363,458726,62363,458726
1572016,183,62402,458726,33,0,62363,458726,62423,458726,62433,458726,62433,458726
1572028,184,62560,458749,107,32,62433,458726,62513,458732,62675,458806,62675,458806
1572040,185,62715,458829,30,29,62675,458806,62740,458816,62740,458885,62740,458885
1572052,186,62740,458893,0,13,62740,458885,62740,458885,62740,458912,62740,458934
1572064,187,62888,458934,125,0,62740,458934,62994,458934,62994,458936,62994,458936
1572076,188,62994,458950,0,12,62994,458936,62994,458955,62994,458966,62994,458966
1572088,189,63043,458972,41,6,62994,458966,63078,458968,63078,458980,63078,458980
1572100,190,63079,458980,2,0,63078,458980,63078,458980,63085,458980,63086,458980
1572112,191,63304,458980,182,0,63086,458980,63455,458980,63460,458980,63460,458980
1572124,192,63466,458980,6,0,63460,458980,63469,458980,63474,458980,63480,458980
1572136,193,63480,458987,0,9,63480,458980,63480,458980,63480,459000,63480,459000
1572148,194,63588,459025,90,27,63480,459000,63665,459002,63665,459059,63665,459059
1572160,195,63665,459059,0,0,63665,459059,63665,459059,63665,459059,63665,459059
1572172,196,63665,459059,0,0,63665,459059,63665,459059,63665,459059,63665,459059
1572184,197,63665,459059,0,0,63665,459059,63665,459059,63666,459059,63666,459059
1572196,198,63679,459074,6,5,63668,459059,63682,459077,63682,459077,63684,459078
1572208,199,63862,459111,59,25,63690,459085,63886,459096,63886,459150,63886,459150
1572220,200,63922,459150,12,0,63887,459150,63927,459150,63927,459150,63928,459150
1572232,201,63931,459154,1,5,63931,459150,63931,459152,63935,459166,63936,459166
1572244,202,64127,459166,68,0,63940,459166,64160,459166,64160,459168,64160,459168
1572256,203,64254,459188,26,12,64176,459168,64264,459195,64264,459207,64264,459208
1572268,204,64264,459211,0,6,64264,459208,64264,459208,64264,459224,64264,459225
1572280,205,64264,459273,0,23,64264,459231,64264,459286,64264,459286,64264,459286
1572292,206,64330,459301,22,21,64264,459286,64338,459286,64339,459334,64339,459339
1572304,207,64339,459341,1,3,64339,459339,64339,459339,64339,459347,64346,459347
1572316,208,64456,459352,35,6,64356,459347,64470,459352,64470,459362,64470,459370
1572328,209,64513,459406,13,48,64473,459378,64519,459378,64519,459488,64519,459488
1572340,210,64519,459488,0,0,64519,459488,64519,459488,64519,459488,64522,459488
1572352,211,64833,459488,105,0,64525,459488,64873,459488,64873,459488,64875,459488
1572364,212,65058,459488,62,0,64878,459488,65083,459488,65083,459488,65083,459488
1572376,213,65088,459502,3,26,65083,459488,65091,459488,65091,459562,65091,459562
1572388,214,65255,459562,60,0,65091,459562,65280,459562,65280,459562,65280,459562
1572400,215,65280,459590,0,20,65280,459562,65280,459598,65280,459615,65280,459615
1572412,216,65280,459615,0,0,65280,459615,65280,459615,65280,459615,65280,459615
1572424,217,65280,459618,0,5,65280,459615,65280,459615,65280,459627,65280,459627
1572436,218,65280,459645,0,19,65280,459627,65280,459643,65280,459678,65280,459679
1572448,219,65421,459715,58,16,65280,459708,65451,459708,65451,459742,65451,459742
1572460,220,65483,459742,13,0,65451,459742,65487,459742,65495,459742,65505,459742
1572472,221,65583,459767,11,42,65566,459742,65587,459742,65587,459840,65587,459840
1572484,222,65608,459846,8,5,65587,459840,65611,459851,65611,459851,65617,459851
1572496,223,65637,459855,11,2,65619,459851,65645,459855,65645,459860,65645,459860
1572508,224,65668,459866,9,3,65645,459860,65673,459869,65673,459869,65673,459869
1572520,225,65703,459869,11,0,65677,459869,65708,459869,65708,459869,65708,459869
1572531,226,65708,459869,0,0,65708,459869,65708,459869,65708,459869,65708,459869
1572542,227,65758,459922,20,54,65708,459869,65767,459890,65767,459996,65767,459996
1572553,228,65774,459996,9,0,65767,459996,65767,459996,65788,459996,65788,459996
1572564,229,65788,459997,0,3,65788,459996,65788,459996,65788,460004,65788,460004
1572575,230,65788,460009,0,5,65788,460004,65788,460004,65788,460015,65788,460015
1572586,231,65788,460109,0,109,65788,460015,65788,460031,65788,460250,65788,460250
1572597,232,65800,460250,17,0,65788,460250,65788,460250,65834,460250,65836,460250
1572609,233,65845,460251,14,2,65836,460250,65836,460250,65873,460255,65873,460255
1572621,234,65896,460285,32,32,65873,460255,65873,460266,65948,460330,65948,460330
1572633,235,66007,460336,24,6,65949,460330,66018,460331,66018,460344,66023,460344
1572645,236,66040,460373,4,27,66028,460344,66042,460372,66042,460411,66042,460411
1572657,237,66042,460423,0,15,66042,460411,66042,460416,66042,460450,66042,460452
1572669,238,66042,460464,0,15,66042,460452,66042,460452,66042,460484,66042,460484
1572681,239,66042,460484,0,0,66042,460484,66042,460484,66042,460484,66042,460484
1572692,240,66042,460498,0,6,66042,460489,66042,460504,66042,460504,66042,460504
1572703,241,66042,460504,0,0,66042,460504,66042,460504,66042,460504,66042,460504
1572715,242,66054,460504,7,0,66042,460504,66053,460504,66064,460504,66064,460504
1572727,243,66064,460518,0,15,66064,460504,66064,460518,66064,460541,66064,460541
1572739,244,66234,460583,69,44,66064,460541,66266,460563,66266,460636,66266,460667
1572751,245,66283,460676,6,13,66271,460667,66287,460667,66287,460693,66287,460700
1572763,246,66294,460704,3,5,66287,460700,66296,460700,66296,460714,66296,460714
1572775,247,66296,460715,0,2,66296,460714,66296,460714,66296,460719,66296,460719
1572787,248,66296,460739,0,19,66296,460719,66296,460734,66296,460766,66296,460766
1572799,249,66425,460774,52,10,66296,460766,66447,460766,66447,460788,66449,460788
1572811,250,66518,460799,28,10,66449,460788,66530,460807,66532,460810,66540,460810
1572822,251,66548,460835,3,20,66542,460810,66550,460854,66550,460854,66550,460854
1572833,252,66550,460855,0,3,66550,460854,66550,460854,66550,460860,66550,460867
1572844,253,66550,460889,0,11,66550,460877,66550,460889,66550,460902,66550,460916
1572856,254,66550,460921,0,8,66550,460917,66550,460917,66550,460935,66550,460942
1572868,255,66550,460944,0,3,66550,460942,66550,460942,66550,460948,66550,460956
1572880,256,66613,460969,25,2,66550,460966,66624,460971,66624,460971,66628,460971
1572892,257,66732,460971,35,0,66629,460971,66745,460971,66745,460973,66745,460973
1572903,258,66800,460983,14,9,66804,460973,66804,460979,66804,460995,66804,460995
1572914,259,66804,461027,0,35,66804,460995,66804,460995,66804,461073,66804,461078
1572938,260,66804,461081,0,6,66804,461078,66804,461078,66804,461092,66804,461092
1572962,261,66804,461105,0,20,66804,461092,66804,461094,66804,461143,66804,461147
1572974,262,66804,461162,0,21,66804,461147,66804,461147,66804,461202,66804,461202
1572986,263,66804,461202,0,0,66804,461202,66804,461202,66804,461203,66804,461203
1572998,264,66818,461203,3,0,66819,461203,66820,461203,66820,461203,66820,461203
1573010,265,66820,461218,0,10,66820,461209,66820,461215,66822,461231,66822,461233
1573022,266,66931,461241,28,4,66938,461235,66939,461242,66939,461242,66939,461255
1573034,267,66940,461264,2,2,66939,461257,66939,461266,66944,461266,66944,461266
1573046,268,67090,461275,38,5,67094,461266,67098,461279,67113,461279,67117,461279
1573058,269,67153,461280,10,2,67154,461279,67154,461279,67166,461284,67166,461284
1573069,270,67183,461305,4,18,67185,461284,67185,461318,67185,461326,67185,461328
1573080,271,67185,461329,0,1,67185,461328,67185,461328,67185,461332,67185,461332
1573091,272,67185,461362,0,34,67185,461332,67185,461334,67185,461406,67185,461406
1573103,273,67210,461413,8,5,67195,461406,67213,461417,67213,461417,67219,461417
1573114,274,67377,461462,41,10,67380,461453,67391,461465,67391,461473,67391,461475
1573125,275,67396,461476,9,1,67391,461476,67391,461476,67415,461480,67415,461482
1573136,276,67437,461488,5,2,67439,461483,67439,461489,67439,461489,67439,461489
1573148,277,67439,461516,0,33,67439,461489,67439,461489,67439,461558,67439,461558
1573160,278,67439,461567,0,7,67439,461558,67439,461566,67439,461575,67439,461575
1573172,279,67531,461595,24,26,67536,461575,67537,461575,67542,461632,67548,461632
1573184,280,67562,461637,2,7,67563,461632,67563,461632,67563,461648,67563,461648
1573196,281,67565,461672,0,27,67566,461648,67566,461656,67566,461715,67566,461715
1573208,282,67566,461722,0,8,67566,461715,67566,461722,67566,461733,67566,461733
1573219,283,67566,461733,0,0,67566,461733,67566,461733,67566,461733,67566,461733
1573230,284,67566,461764,0,15,67566,461748,67566,461754,67566,461782,67566,461782
1573241,285,67566,461792,0,11,67566,461782,67566,461790,67566,461808,67566,461816
1573252,286,67922,461825,94,10,67934,461819,67947,461819,67960,461844,67962,461844
1573263,287,68059,461857,26,14,68050,461844,68069,461844,68069,461876,68069,461876
1573274,288,68073,461876,1,0,68074,461876,68074,461876,68074,461876,68074,461876
1573285,289,68074,461902,0,14,68074,461876,68074,461912,68074,461912,68074,461912
1573296,290,68074,461962,0,36,68074,461915,68074,461938,68074,462003,68074,462003
1573307,291,68074,462028,0,5,68074,462018,68074,462031,68074,462031,68074,462031
1573318,292,68074,462038,0,9,68074,462031,68074,462031,68074,462051,68074,462051
