eovx,eovy,num
226824,672594,0
286387,698375,10
131320,644527,0
93093,641479,0
218950,647956,0
250192,673102,0
227586,672848,0
233428,628144,26
242826,584329,55
249176,618238,19
204345,734316,0
173992,699899,1
172214,697359,0
171071,700153,0
172849,698756,0
171579,698248,0
171071,695708,0
173230,700915,2
172087,696470,0
176659,691009,0
174754,697740,0
253367,836551,14
280545,828169,0
214378,638431,18
66042,574931,26
258574,654687,10
196344,589790,67
220220,590933,84
164467,632208,23
114683,593346,11
204345,737364,0
205996,736221,0
204853,736348,0
102999,735967,4
102999,735078,3
104015,736094,0
341759,842901,0
342521,843155,0
308485,782195,6
306961,780798,0
306072,779147,0
306707,779655,0
242064,733046,0
208663,780163,0
304929,779401,0
113159,731903,0
335536,838583,0
333885,837059,0
103126,736475,0
103507,734570,10
315597,810008,0
103253,734824,0
303913,685421,10
140083,801499,6
89156,617730,44
249303,637923,39
146433,516257,39
233047,638050,18
192407,519686,30
231269,638558,8
109349,527052,40
250446,508764,23
92204,643511,2
91061,642876,0
244350,842266,0
243969,843536,3
247144,841504,6
245112,842012,0
323979,875667,0
165991,744730,5
302770,777496,10
303659,776607,0
66804,578487,55
124716,632335,17
180596,638304,17
109857,602998,26
240667,613666,24
177421,601093,64
175516,629541,28
254637,638177,26
173103,527052,20
281053,880874,0
175135,698883,34
283847,749302,0
284355,750064,0
310263,773305,12
310517,771400,0
175008,698248,5
175135,697740,0
282831,749556,0
284101,748413,0
175135,699518,0
284736,749556,0
264670,645162,20
215013,634113,18
293880,842266,3
289689,852172,0
242826,847092,0
245112,846711,0
288927,748921,1
243334,845568,19
291340,849124,0
103634,731776,0
204472,735586,0
291594,851410,1
137416,557151,11
154815,494794,29
272163,627001,35
248414,655068,0
203710,737110,0
149862,806452,8
253367,656719,0
222760,655322,0
149227,808230,6
226062,662053,0
256669,668149,0
150751,807976,9
149481,806071,0
100713,736729,3
149735,805690,2
150370,805309,0
150751,806706,7
298198,851283,0
150751,807214,0
299722,850775,0
224284,655322,7
251970,654560,0
243334,844298,2
295531,850267,0
252478,839980,10
101221,736348,0
100713,735586,8
257431,652020,16
115699,620016,27
105666,584583,8
203710,735586,0
292610,847854,2
248795,846076,0
221617,643765,0
248160,845568,0
293753,851156,0
245620,842520,0
293499,848362,0
309374,779655,0
220474,647194,0
310009,779401,0
293880,850902,0
308104,780417,6
246382,847981,1
314581,893320,6
203964,735332,0
203329,736094,0
220474,651639,26
246382,842647,0
218823,644908,0
246382,845568,0
294642,847727,0
299341,909322,2
104142,600585,36
97665,617222,24
292483,848997,2
73916,612904,21
259717,520829,20
308993,777369,0
295658,849759,6
101602,732284,5
287149,748921,0
295531,848997,0
244604,845822,0
244731,842520,0
307596,772416,10
307215,773305,0
152656,643511,26
249176,842266,0
245747,846076,3
248668,842901,0
221744,652274,0
222760,653417,0
100078,733935,0
269115,527941,127
235841,638812,18
187581,591060,23
171833,575566,62
284482,748667,0
197487,496953,23
139067,600458,14
102872,732538,6
100586,734697,0
294769,848743,1
237492,594743,48
103253,733808,6
201551,481205,42
128780,614555,26
172087,547118,13
213235,506605,25
245747,666371,0
244477,664974,0
243715,665863,0
238381,665990,0
242953,667260,2
250573,672467,0
237365,667895,0
248922,844044,0
252605,514733,10
188343,483872,52
137543,511812,68
284482,749048,0
246763,845060,2
307596,773813,6
293245,849251,5
307977,775845,0
222887,649861,21
114683,631573,26
140972,570359,34
260098,629033,50
195455,565025,15
294642,849505,0
295531,849505,0
223268,645035,0
237111,677039,5
225046,653671,11
239143,665863,0
221998,648718,0
257431,528068,22
119636,550928,120
111127,623318,45
82171,619381,13
144401,636780,3
101475,733554,0
101983,733046,5
100840,734062,3
180596,476887,1
219331,507113,25
282872,774566,19
245112,843790,0
174119,699010,0
244604,662688,0
245239,845822,0
307977,776607,0
307469,780163,0
308231,778893,0
307596,775337,0
99316,520448,18
247398,844552,0
231650,664339,0
245747,844044,1
294388,848235,2
227078,640971,12
99316,732792,3
224284,641606,1
307850,779401,0
245620,843282,0
268734,612396,14
232412,614555,27
114683,546356,128
168912,482602,31
148465,621159,3
204472,738507,0
227840,548388,9
249049,651385,0
234698,662561,0
221871,514733,19
164340,605665,18
267083,609348,38
206631,590425,13
217172,557151,22
187962,508764,7
185549,554230,39
72392,621540,45
273433,626747,10
183009,589536,65
84203,549785,7
214886,651639,4
250700,650369,3
246890,641606,12
247652,653925,12
249430,650623,7
249684,647956,27
238508,670562,19
247779,844679,0
234698,663831,0
308358,771273,0
101475,734697,5
247779,844171,0
245366,844171,0
246636,843663,0
293499,849886,0
246763,844171,0
307469,779782,8
235841,664593,0
294261,849124,0
248414,843663,1
102872,733427,0
229110,667768,2
252351,637923,20
244350,663450,0
308485,778512,0
247017,843028,3
229745,639193,3
246255,843282,2
102237,735078,4
247398,843663,0
308612,779020,0
173357,698883,0
237492,664339,0
247525,843155,2
245747,844552,1
240286,640844,38
307596,774702,0
292991,850140,0
246128,843790,0
233174,632843,3
307977,778258,0
232793,625858,1
101221,734824,7
241937,641225,23
173230,698502,0
235714,634113,22
102364,735586,0
225935,586869,10
171452,502414,31
170055,479173,9
193804,564771,13
261876,543435,0
128653,600712,58
75948,594870,19
173738,510415,32
171452,468378,38
97030,583694,65
263781,654306,36
197868,698883,28
139956,585599,15
142115,649861,5
206758,581535,13
224411,698248,10
169547,735586,12
305437,793117,26
195582,682881,64
311787,821184,13
309120,842901,14
127764,703836,0
261114,832995,0
152021,734189,0
204980,722759,0
276735,875032,0
111254,725807,52
224284,710313,26
211330,673737,0
150497,635891,9
162943,703455,0
214378,670943,35
131447,665482,0
178310,642368,35
109603,623064,5
177421,471426,6
181485,620016,17
306072,760732,0
238104,655608,86
288800,799467,0
289308,798324,0
277497,846965,48
219331,713234,12
136654,773813,0
170182,759208,0
177929,781433,0
170055,763907,0
254256,683262,0
169293,480697,14
203710,753112,0
137797,770384,0
230634,702439,0
216918,648845,0
213362,651512,0
210441,641352,0
194185,647067,0
138305,775337,0
311406,784608,15
220855,806071,18
165356,800102,0
300357,857887,0
120652,747651,0
295658,894209,0
169674,765050,0
202186,672340,0
210949,838202,0
285244,858776,0
120906,683516,0
273433,763653,0
119128,749048,0
312041,849632,0
254510,823470,0
229237,702566,0
121287,749429,0
216283,686945,0
210822,691644,0
335282,882906,1
119636,748032,0
235714,670435,4
247525,842393,0
337187,877699,5
230380,654687,157
248592,649500,45
303913,779655,0
150116,468251,20
168531,482094,60
169801,521718,9
137797,633605,29
249303,664974,0
232539,675388,5
228602,636526,6
187327,579630,0
204853,722505,0
237619,618873,62
235065,656754,28
227058,655054,129
238667,645877,30
244577,655638,51
245313,643023,68
246569,655653,45
229216,655242,63
245338,654743,84
232060,655102,45
232545,655132,36
236611,667466,35
237794,667394,42
245795,656049,124
229190,661071,29
229439,660499,32
229384,651020,66
210468,838507,53
249236,649117,180
250105,650219,125
251074,650382,52
250684,649967,72
250036,651715,75
249566,650746,103
162736,550622,72
189795,578416,42
187884,577546,17
187611,578958,15
160453,523517,47
179915,564064,25
187139,571208,64
183284,583334,30
303723,670445,395
300442,667828,52
240849,651567,36
243260,662021,35
243084,661599,24
243503,661764,39
243083,659812,77
247019,652881,109
242179,654862,32
242569,655357,161
182563,568236,38
216889,660416,75
240311,652966,37
240535,715008,97
268607,655949,170
250677,647401,154
239839,653447,51
244830,656741,126
248588,652862,78
242755,646485,88
242971,646831,56
237856,639530,84
173859,692096,144
