tower_id,mean_x,mean_y,std_x,std_y
22497,237111,654156,0,0
22498,237111,654157,0,0
22499,237111,654158,0,0
22500,237111,654159,0,0
22501,237111,654161,0,0
22502,237111,654163,0,0
22503,237111,654164,0,1
22504,237111,654167,0,0
22505,237111,654168,0,0
22506,237111,654168,0,1
22507,237111,654172,0,0
22508,237111,654174,0,1
22509,237111,654179,0,0
22510,237111,654179,0,0
22511,237111,654179,0,0
22512,237111,654179,0,0
22513,237111,654179,0,0
22514,237111,654179,0,0
22515,237111,654179,0,0
22516,237111,654179,0,0
22517,237111,654179,0,0
22518,237111,654179,0,0
22519,237111,654179,0,0
22520,237111,654179,0,0
22521,237111,654179,0,0
22522,237111,654179,0,0
22523,237111,654179,0,0
22524,237111,654179,0,0
22525,237113,654179,0,0
22526,237114,654179,0,1
22527,237114,654185,0,0
22528,237116,654187,0,0
22529,237116,654190,0,0
22530,237117,654197,0,1
22531,237118,654203,0,1
22532,237122,654209,0,1
22533,237123,654210,0,0
22534,237127,654212,2,0
22535,237131,654214,1,0
22536,237133,654228,1,3
22537,237136,654234,0,1
22538,237136,654235,0,0
22539,237136,654236,0,0
22540,237136,654238,0,0
22541,237137,654241,0,0
22542,237138,654242,0,0
22543,237138,654248,0,1
22544,237140,654249,0,0
22545,237142,654254,0,0
22546,237142,654257,0,0
22547,237146,654258,3,0
22548,237151,654258,0,0
22549,237153,654264,0,1
22550,237153,654265,0,0
22551,237153,654265,0,0
22552,237155,654269,1,1
22553,237157,654270,0,0
22554,237159,654272,0,1
22555,237161,654273,0,0
22556,237161,654274,0,0
22557,237161,654274,0,0
22558,237162,654274,1,0
22559,237165,654275,0,0
22560,237166,654276,0,0
22561,237168,654276,2,0
22562,237172,654277,0,0
22563,237172,654277,0,1
22564,237173,654281,0,1
22565,237174,654286,0,0
22566,237174,654287,0,0
22567,237174,654288,0,0
22568,237174,654289,0,0
22569,237174,654290,0,0
22570,237174,654291,0,0
22571,237174,654294,0,1
22572,237174,654299,0,4
22573,237174,654306,0,0
22574,237174,654306,0,0
22575,237174,654306,0,0
22576,237175,654306,1,0
22577,237179,654306,2,0
22578,237182,654306,0,0
22579,237183,654306,0,0
22580,237183,654306,0,0
22581,237183,654306,0,0
22582,237188,654306,2,0
22583,237192,654306,1,0
22584,237200,654306,2,0
22585,237204,654306,1,0
22586,237206,654306,0,0
22587,237207,654306,2,0
22588,237212,654306,0,0
22589,237212,654306,0,0
22590,237213,654306,1,0
22591,237217,654306,2,0
22592,237224,654306,1,0
22593,237226,654306,1,0
22594,237228,654306,0,0
22595,237228,654306,0,0
22596,237228,654306,0,0
22597,237228,654306,0,0
22598,237229,654306,0,0
22599,237235,654306,2,0
22600,237238,654306,0,0
22601,237238,654306,0,0
22602,237238,654306,0,0
22603,237238,654306,0,0
22604,237238,654306,0,0
22605,237238,654306,0,0
22606,237238,654306,0,0
22607,237238,654306,0,0
22608,237238,654306,0,0
22609,237238,654306,0,0
22610,237238,654306,0,0
22611,237238,654306,0,0
22612,237238,654306,0,0
22613,237238,654306,0,0
22614,237238,654306,0,0
22615,237238,654306,0,0
22616,237238,654306,0,0
22617,237238,654306,0,0
22618,237238,654306,0,0
22619,237238,654306,0,0
22620,237238,654306,0,0
22621,237238,654307,0,2
22622,237238,654311,0,0
22623,237238,654311,0,0
22624,237238,654313,0,1
22625,237238,654316,0,0
22626,237238,654316,0,0
22627,237238,654316,0,0
22628,237238,654317,0,2
22629,237238,654322,0,0
22630,237238,654330,0,5
22631,237238,654337,0,0
22632,237238,654337,0,0
22633,237238,654337,0,1
22634,237238,654342,0,0
22635,237238,654342,2,0
22636,237246,654344,0,0
22637,237247,654345,0,0
22638,237248,654347,0,0
22639,237251,654348,0,0
22640,237252,654348,0,0
22641,237254,654349,1,0
22642,237259,654351,2,0
22643,237263,654351,0,0
22644,237263,654356,0,2
22645,237263,654359,0,0
22646,237263,654359,0,0
22647,237263,654359,0,0
22648,237263,654360,0,0
22649,237266,654361,2,0
22650,237270,654363,1,0
22651,237272,654364,0,0
22652,237272,654367,0,2
22653,237273,654369,0,0
22654,237274,654369,0,0
22655,237275,654369,0,0
22656,237276,654369,1,0
22657,237284,654369,0,0
22658,237285,654369,0,0
22659,237287,654371,0,1
22660,237288,654374,0,0
22661,237294,654375,2,0
22662,237296,654376,0,0
22663,237297,654376,0,0
22664,237298,654376,0,0
22665,237300,654376,0,0
22666,237301,654376,0,0
22667,237301,654377,0,0
22668,237301,654381,0,0
22669,237301,654386,0,1
22670,237301,654387,0,0
22671,237301,654388,0,0
22672,237301,654389,0,0
22673,237301,654389,0,0
22674,237301,654390,0,0
22675,237301,654393,0,0
22676,237301,654396,0,2
22677,237301,654401,0,0
22678,237301,654402,0,0
22679,237301,654403,0,0
22680,237303,654404,1,0
22681,237309,654405,0,0
22682,237312,654406,1,0
22683,237314,654412,0,2
22684,237317,654422,3,3
22685,237322,654424,0,0
22686,237322,654425,0,0
22687,237322,654426,0,0
22688,237322,654426,0,0
22689,237323,654429,1,2
22690,237325,654433,0,0
22691,237326,654433,1,0
22692,237329,654433,0,0
22693,237330,654433,0,0
22694,237333,654433,1,0
22695,237336,654433,1,0
22696,237338,654433,0,0
22697,237338,654433,0,0
22698,237338,654433,0,0
22699,237339,654433,0,0
22700,237339,654433,0,0
22701,237340,654433,0,0
22702,237341,654433,0,0
22703,237342,654437,0,3
22704,237343,654441,0,0
22705,237343,654442,0,0
22706,237343,654443,0,1
22707,237345,654445,0,0
22708,237346,654445,0,0
22709,237347,654447,0,0
22710,237348,654448,0,0
22711,237351,654448,1,0
22712,237354,654448,0,0
22713,237356,654448,0,0
22714,237363,654451,3,2
22715,237365,654455,0,0
22716,237365,654457,0,0
